symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
NVDA,2019-02-07 00:00:00+00:00,147.42,151.22,145.69,151.13,15928000,36.5686121668,37.5112300357,36.1394729791,37.4889048757,63712000,0.0,1.0
NVDA,2019-02-08 00:00:00+00:00,148.17,148.6,144.13,144.71,11540137,36.7546551672,36.8613198208,35.7525035382,35.8963767919,46160548,0.0,1.0
NVDA,2019-02-11 00:00:00+00:00,146.45,148.58,144.5,146.39,12379515,36.3279965529,36.8563586742,35.8442847518,36.3131131129,49518060,0.0,1.0
NVDA,2019-02-12 00:00:00+00:00,151.17,151.8,147.42,148.0,14776513,37.498827169,37.6551032894,36.5686121668,36.7124854205,59106052,0.0,1.0
NVDA,2019-02-13 00:00:00+00:00,152.88,155.83,151.81,152.36,15134302,37.92300521,38.6547743451,37.6575838627,37.7940153964,60537208,0.0,1.0
NVDA,2019-02-14 00:00:00+00:00,154.53,155.67,151.1,152.84,20681574,38.332299811,38.6150851717,37.4814631556,37.9130829167,82726296,0.0,1.0
NVDA,2019-02-15 00:00:00+00:00,157.34,163.87,156.42,162.95,37918734,39.0293409193,40.6491553098,38.8011281721,40.4209425626,151674936,0.0,1.0
NVDA,2019-02-19 00:00:00+00:00,156.64,159.89,156.14,156.91,13797316,38.8557007856,39.6618871208,38.7316721186,38.9226762657,55189264,0.0,1.0
NVDA,2019-02-20 00:00:00+00:00,158.55,161.26,157.37,157.82,13524737,39.3294902934,40.0017256683,39.0367826393,39.1484084396,54098948,0.0,1.0
NVDA,2019-02-21 00:00:00+00:00,155.77,160.05,155.18,159.06,11213668,38.6398909051,39.7015762942,38.493537078,39.4559995337,44854672,0.0,1.0
NVDA,2019-02-22 00:00:00+00:00,159.19,159.95,157.31,157.86,10043531,39.4882469871,39.6767705609,39.0218991993,39.158330733,40174124,0.0,1.0
NVDA,2019-02-25 00:00:00+00:00,158.69,165.28,158.34,162.56,16400481,39.3642183201,40.9989161507,39.2773982532,40.3242002024,65601924,0.0,1.0
NVDA,2019-02-26 00:00:00+00:00,157.1,160.76,155.75,158.5,12211571,38.9698071592,39.8776970013,38.6349297584,39.3170874267,48846284,0.0,1.0
NVDA,2019-02-27 00:00:00+00:00,155.41,157.59,153.11,156.52,12506381,38.5505902648,39.0913552528,37.9800583968,38.8259339055,50025524,0.0,1.0
NVDA,2019-02-28 00:00:00+00:00,154.26,155.9,153.36,155.0,8123565,38.3050135043,38.7122494834,38.081530345,38.4887663241,32494260,0.16,1.0
NVDA,2019-03-01 00:00:00+00:00,156.45,158.15,153.92,156.27,8929678,38.8488225252,39.2709573817,38.220586533,38.8041258934,35718712,0.0,1.0
